City,Country,Continent,Population 2023,Population 2024,Growth Rate
Nanchang,China,Asia,3920379,4016037,0.0244
Wenzhou,China,Asia,3919724,4009531,0.0229
Xiamen,China,Asia,3935484,4007468,0.0183
Ibadan,Nigeria,Africa,3874908,4004316,0.0334
Fuzhou Fujian,China,Asia,3922202,3998754,0.0195
Salvador,Brazil,South America,3958384,3994982,0.0092
Casablanca,Morocco,Africa,3892837,3950408,0.0148
Tangshan Hebei,China,Asia,3814702,3925206,0.029
Kumasi,Ghana,Africa,3768239,3903481,0.0359
Curitiba,Brazil,South America,3813082,3852459,0.0103
Bekasi,Indonesia,Asia,3729351,3830678,0.0272
Faisalabad,Pakistan,Asia,3710845,3800193,0.0241
Los Angeles,United States,North America,3785439,3748640,-0.0097
Guiyang,China,Asia,3580904,3661446,0.0225
Port Harcourt,Nigeria,Africa,3480101,3636547,0.045
Thrissur,India,Asia,3482456,3605238,0.0353
Santo Domingo,Dominican Republic,,3523890,3587402,0.018
Berlin,Germany,Europe,3573938,3576873,0.0008
Asuncion,Paraguay,South America,3510511,3568830,0.0166
Dakar,Senegal,Africa,3429536,3540462,0.0323
Kochi,India,Asia,3406055,3507053,0.0297
Wuxi,China,Asia,3437346,3498740,0.0179
Busan,South Korea,Asia,3471949,3477419,0.0016
Campinas,Brazil,South America,3422796,3458441,0.0104
Mashhad,Iran,Asia,3367852,3415532,0.0142
Sanaa,Yemen,Asia,3292497,3407814,0.035
Puebla,Mexico,North America,3344761,3394342,0.0148
Indore,India,Asia,3302077,3393380,0.0277
Lanzhou,China,Asia,3297528,3365910,0.0207
Ouagadougou,Burkina Faso,,3203923,3358934,0.0484
Kuwait City,Kuwait,Asia,3297759,3353602,0.0169
Lusaka,Zambia,Africa,3181250,3324219,0.0449
Kanpur,India,Asia,3234160,3286142,0.0161
Durban,South Africa,Africa,3228003,3262128,0.0106
Guayaquil,Ecuador,South America,3142466,3193267,0.0162
Pyongyang,North Korea,Asia,3157538,3183135,0.0081
Milan,Italy,Europe,3154570,3160631,0.0019
Guatemala City,Guatemala,North America,3095099,3159631,0.0208
Athens,Greece,Europe,3154463,3154591,0
Depok,Indonesia,Asia,3041229,3133298,0.0303
Izmir,Turkey,Asia,3088414,3120340,0.0103
Nagpur,India,Asia,3046687,3106340,0.0196
Surabaya,Indonesia,Asia,3044413,3088748,0.0146
Handan,China,Asia,3005409,3085998,0.0268
Coimbatore,India,Asia,3009047,3083721,0.0248
Huaian,China,Asia,2979893,3071048,0.0306
Port Au Prince,Haiti,North America,2987455,3060169,0.0243
Zhongshan,China,Asia,3010685,3051065,0.0134
Dubai,United Arab Emirates,Asia,3007583,3051016,0.0144
Bamako,Mali,Africa,2929373,3050570,0.0414
Mbuji Mayi,DR Congo,Africa,2891746,3022855,0.0453
Kiev,Ukraine,Europe,3016789,3020228,0.0011
Lisbon,Portugal,Europe,3000536,3014607,0.0047
Weifang,China,Asia,2917819,2994537,0.0263
Caracas,Venezuela,South America,2972145,2991727,0.0066
Thiruvananthapuram,India,Asia,2891119,2984154,0.0322
Algiers,Algeria,Africa,2901810,2952115,0.0173
Shizuoka,Japan,Asia,2937359,2935527,-0.0006
Lubumbashi,DR Congo,Africa,2811959,2933962,0.0434
Cali,Colombia,South America,2863730,2890433,0.0093
Goiania,Brazil,South America,2848473,2890418,0.0147
Pretoria,South Africa,Africa,2818100,2889899,0.0255
Shaoxing,China,Asia,2805654,2882171,0.0273
Incheon,South Korea,Asia,2848557,2861686,0.0046
Yantai,China,Asia,2764584,2834508,0.0253
Zibo,China,Asia,2780142,2828435,0.0174
Huizhou,China,Asia,2758593,2827610,0.025
Manchester,United Kingdom,,2791005,2811756,0.0074
Taipei,Taiwan,Asia,2754196,2766334,0.0044
Mogadishu,Somalia,Africa,2610483,2726815,0.0446
Brazzaville,Republic of the Congo,,2637733,2724566,0.0329
Accra,Ghana,Africa,2660072,2721165,0.023
Bandung,Indonesia,Asia,2674000,2714215,0.015
Damascus,Syria,Asia,2584771,2685361,0.0389
Birmingham,United Kingdom,Europe,2665100,2684807,0.0074
Vancouver,Canada,North America,2657088,2682509,0.0096
